Exchanger,Provider,Solution
.1and1.com.,1&1 IONOS,1&1 IONOS
.4w.com.,Information Analytics,Information Analytics
.appsanyplace.com.,NexusTek,NexusTek
.arsmtp.com.,Zix,AppRiver
.atcbroadband.com.,ATC Broadband,ATC Broadband
.att.com.,AT&T,AT&T
.boxlake.com.,Box Lake Networks,Box Lake Networks
.carrierzone.com.,carrierzone.com,carrierzone.com
.cavionplus.com.,Finastra,Cavion Plus
.citynet.net.,Citynet ISP (West Virginia/US),ISP Hosted Email
.cloudworks.com.,Ongoing Operations,Ongoing Operations
.cnetokc.com.,CNet (Oklahoma City MSP),MSP-Hosted Unknown
.cocci.com.,Conneticut Online Computer Center,Conneticut Online Computer Center
.compudyne.net.,Compudyne,Compudyne
.cscdns.net.,Digital Brand Services,Digital Brand Services
.csiweb.net.,Computer Services Inc.,Computer Services Inc.
.ctmail.com.,Sophos,Sophos UTM
.cwpowerit.com.,CW Technology,CW Technology
.daktel.com.,Dakota Central ISP,ISP Hosted Email
.db.com.,Deutsche Bank,Self-Hosted Unknown
.diginsite.com.,NCR,Digital Insight
.discoveryit.com.,Discovery IT,Discovery IT
.edocprocessing.com.,Business Data Inc. (BDI),Business Data Inc. (BDI)
.electric.net.,Vipre,Vipre Email Security
.emailsecurity.trendmicro.com.,TrendMicro,TrendMicro InterScan Messaging Security Virtual Appliance
.emailservice.io.,Mailprotector,Mailprotector
.emailsrvr.com.,Rackspace,Rackspace Cloud Office
.entrustedmail.net.,FiLink,Entrusted Email
.espsolution.net.,ESP Inc. (CUSO),MSP-Hosted Unknown
.ess.barracudanetworks.com.,Barracuda Networks,Barracuda Networks Essentials
.etrn.com.,ETRN.com,ETRN.com
.everycloudtech.com.,EveryCloud,EveryCloud
.everyone.net.,Everyone.net (a Proofpoint company from 1998),Everyone.net
.exacttarget.com.,Salesforce,Salesforce
.fireeyecloud.com.,FireEye,Cloud Email Security
.fnni.com.,First National of Nebraska (Bank Holding Company),Self-Hosted Unknown
.fortimail.com.,FortiNet,Secure Email Gateway
.fsiwebs.net.,Fidelity National Information Services,FNIS Hosted Email
.fuse.net.,Cincinnati Bell Telephone ISP,ISP Hosted Email
.gladtech.net.,Jack Henry ProfitStars,Gladiator Enterprise Information Security
.googlemail.com.,Google,G Suite
.gosecure.net.,GoSecure,GoSecure
.greendot.com.,Green Dot Bank (MSP),MSP-Hosted Unknown
.h-email.net.,Michigan State University H-Net,MSU H-Net Hosted Email
