Nameserver,Provider,Solution
.101domain.com.,101domain,Registrar-provided DNS
.1and1-dns.com.,1&1 IONOS,1&1 IONOS
.1and1-dns.de.,1&1 IONOS,1&1 IONOS
.1and1-dns.org.,1&1 IONOS,1&1 IONOS
.1and1-dns.us.,1&1 IONOS,1&1 IONOS
.1and1.com.,1&1 IONOS,1&1 IONOS
.1and1.de.,1&1 IONOS,1&1 IONOS
.1and1.org.,1&1 IONOS,1&1 IONOS
.1and1.us.,1&1 IONOS,1&1 IONOS
.above.com.,Above.com,Registrar-provided DNS (PROBABLY PARKED/INVALID)
.adams.net.,Adams Telephone Cooperative,ISP-provided DNS
.akam.net.,Akamai Technologies,Akamai Managed DNS
.americaneagle.com.,American Eagle (web design),Managed DNS
.ameritech.net.,AT&T,ISP-provided DNS
.anz.com.,Australia and New Zealand Banking Group Limited,Self-Hosted Unknown
.atcbb.co.,ATC Broadband,ISP-provided DNS
.atcbroadband.com.,ATC Broadband,ISP-provided DNS
.awsdns-*.co.uk.,Amazon Web Services,Route 53
.awsdns-*.com.,Amazon Web Services,Route 53
.awsdns-*.net.,Amazon Web Services,Route 53
.awsdns-*.org.,Amazon Web Services,Route 53
.azure-dns.com.,Microsoft,Azure DNS
.azure-dns.info.,Microsoft,Azure DNS
.azure-dns.net.,Microsoft,Azure DNS
.azure-dns.org.,Microsoft,Azure DNS
.bac.com.,Bank of America,Self-Hosted Unknown
.bancinternetgroup.com.,Jack Henry,Goldleaf Financial Solutions
.bankonitok.com.,BankOnIT,BankOnIT
.bankonitusa.com.,BankOnIT,BankOnIT
.bellsouth.net.,BellSouth,ISP-provided DNS
.bluehost.com.,BlueHost,Web Host-provided DNS
.bnccorp.net.,BNC National Bank,Self-Hosted Unknown
.bppr.com.,Banco Popular de Puerto Rico,Self-Hosted Unknown
.brainydns.com.,Name Management Group,Managed DNS (PROBABLY PARKED/INVALID/MALWARE)
.buddyns.com.,BuddyNS,BuddyNS Managed DNS
.capitalone.com.,Capital One Financial,Self-Hosted Unknown
.carrierzone.com.,carrierzone.com,carrierzone.com
.cashparking.com.,GoDaddy,Cash Parking (PROBABLY PARKED/INVALID)
.central1.com.,Central 1 Credit Union,Self-Hosted Unknown
.centurylink.net.,CentryLink,ISP-provided DNS
.cit.com.,CIT Bank,Self-Hosted Unknown
.citynet.net.,Citynet,ISP-provided DNS
.cloudflare.com.,Cloudflare,Cloudflare Managed DNS
.cloudns.net.,ClouDNS,ClouDNS Premium DNS
.cloudworks.com.,Ongoing Operations,Ongoing Operations
.cocci.com.,Conneticut Online Computer Center,Conneticut Online Computer Center
.common-places.com.,CommonPlaces Interactive,Web Host-provided DNS
.cpimsp.net.,CommPutercations,Managed Services
.csbflorida.com.,CenterState Bank,Self-Hosted Unknown
.cscdns.net.,Digital Brand Services,Digital Brand Services
.cscdns.uk.,Digital Brand Services,Digital Brand Services
.csiweb.com.,Computer Services Inc.,Computer Services Inc.
.csiweb.net.,Computer Services Inc.,Computer Services Inc.
.cubase.org.,CU*Answers,Network Services
.cusa-hfs.com.,Fiserv,Fiserv
.cyrusone.com.,CyrusOne,Datacenter-provided DNS
.datafoundry.com.,Data Foundry,Datacenter-provided DNS
.datapipe.net.,Rackspace,Datapipe Managed DNS
.dhiprovo.com.,Amelicor,FPS GOLD
.digitalocean.com.,DigitalOcean,DigitalOcean Managed DNS
.directnic.com.,DNC Holdings Directnic,Registrar-provided DNS
.dns.com.,Xiamen Diensi Technology Co. Ltd.,Chinese-Hosted DNS
.dnsbycomodo.net.,Comodo,Secure DNS
.dnsimple.com.,DNSimple,DNSimple Managed DNS
.dnsmadeeasy.com.,DNS Made Easy,Managed DNS Services
.domain.com.,Domain.com,Registrar-provided DNS
.domaincontrol.com.,GoDaddy,Registrar-provided DNS
.domaindiscover.com.,TierraNet,Registrar-provided DNS
.domainnetwork.se.,CSC,Corporate Domain Management Services
.dotster.com.,Dotster,Registrar-provided DNS
.dovetailinternet.com.,Dovetail Internet Technologies,Web Hosting
.dovetailinternet.net.,Dovetail Internet Technologies,Web Hosting
.dreamhost.com.,DreamHost,Web Host-provided DNS
.dsredirection.com.,DomainSponsor,Managed DNS (PROBABLY PARKED/INVALID)
.dsredirects.com.,DomainSponsor,Managed DNS (PROBABLY PARKED/INVALID)
.dyn.com.,Oracle,DynDNS Managed DNS
.dynect.net.,Oracle,DynDNS Managed DNS
.easydns.ca.,easyDNS Technologies,easyDNS Managed DNS
.easydns.com.,easyDNS Technologies,easyDNS Managed DNS
.easydns.info.,easyDNS Technologies,easyDNS Managed DNS
.easydns.net.,easyDNS Technologies,easyDNS Managed DNS
.easydns.org.,easyDNS Technologies,easyDNS Managed DNS
.els-gms.att.net.,AT&T,Business DNS
.encirca.com.,EnCirca,Registrar-provided DNS
.encirca.net.,EnCirca,Registrar-provided DNS
.encirca.us.,EnCirca,Registrar-provided DNS
.epl.net.,EPL Inc.,EPL Hosted Website (Comprehensive Website Program)
.eschelon.com.,Integra Telecom,ISP-provided DNS
.eteknique.com.,iTeknique,Managed DNS
.ezhostingserver.com.,Hostek,Web Host-provided DNS
.firstcitizens.com.,First Citizens Bank,Self-Hosted Unknown
.firstinterstatebank.com.,First Interstate Bank,Self-Hosted Unknown
.firstinterstatebank.info.,First Interstate Bank,Self-Hosted Unknown
.fiscdp.com.,Financial Institution Service Coorporation,Networking Services
.fisglobal.com.,FIS,FIS
.flagstar.com.,Flagstar Bank,Self-Hosted Unknown
.fnni.com.,First National of Nebraska (Bank Holding Company),Self-Hosted Unknown
.fnni.net.,First National of Nebraska (Bank Holding Company),Self-Hosted Unknown
.gandi.net.,Gandi,Registrar-provided DNS
.gblx.net.,CentryLink,Global Crossing Managed DNS
.genxsp.net.,GenXSP,Web Host-provided DNS
